review_number,source,source_sha256,status,changed_pixels,changed_components,unsafe_components,unsafe_reason,pixels_different_from_current,candidate_png_sha256,alpha_unchanged,protected_chromatic_pixels_unchanged,fit_scale,fit_bbox
4860,picons/16.0e/total-tv/transparent/1_0_1_557_75FB_16E_A00000_0_0_0.png,2a072ef2f098c1de9e03f2bf4e8b9155e95539a2623786bf7f9d0929338f8191,REVIEW,14210,3,4,two-tone,296,d4db70d1df947b5f76c56cf1c66b70e2b941ca8b390c1f38a19002a4c92844d8,True,True,0.89230769,"15,1,205,131"
8966,picons/28.2e/bskyb/transparent/1_0_1_C4CC_811_2_11A0000_0_0_0.png,9cf127b8899869bd49e9c7f7ea42ca4c60dcc3f6c33fd6dc767877c0f590fe2c,REVIEW,13341,13,2,"touches-protected-chroma,two-tone",30,47b41a270348e5abede297b864388a3badc64f017218024ade1ae678d277404c,True,True,0.88549618,"1,0,219,131"
6133,picons/19.2e/sky/transparent/1_0_16_192_2_85_C00000_0_0_0.png,d426c4fd7a7722400ec740d594dfd2dec8599bff9b6012b5de7f25a9222401d2,REVIEW,12062,19,2,touches-protected-chroma,1,8a7f7d798098ab1cddf15572ab46026608b7c989421ce18372f514807bae5ed8,True,True,0.88549618,"13,0,207,131"
12703,picons/52.0e/wns/transparent/1_0_1_5_6_1_2080000_0_0_0.png,7b88856ae84f2a24f5848de762d7d78a6cd5a69922f689e299ba1464d8bf9144,REVIEW,11601,0,0,V9 achromatic-only fallback,0,5e7546bf9a16d430af64bfd53a98fb9465974e467d228d08199bcee8b471f28a,True,True,0.95327103,"3,10,217,118"
12723,picons/52.0e/wns/transparent/1_0_1_8_194E_194E_2080000_0_0_0.png,7b88856ae84f2a24f5848de762d7d78a6cd5a69922f689e299ba1464d8bf9144,REVIEW,11601,0,0,V9 achromatic-only fallback,0,5e7546bf9a16d430af64bfd53a98fb9465974e467d228d08199bcee8b471f28a,True,True,0.95327103,"3,10,217,118"
6019,picons/19.2e/ses/transparent/1_0_1F_109D_3EE_1_C00000_0_0_0.png,889cfbda1c8798bad7cbbf6e7186b2a715601b011448efaa0bb0009407f95030,REVIEW,8770,2,1,two-tone,1599,dab34e7c9f837bee6cbf3a981bc9189d6ff53cfba450a24e8064ea9e98445a3b,True,True,0.89230769,"23,1,197,131"
10085,picons/36.0e/tv-provider/transparent/1_0_1_101_1_1_1682D43_0_0_0.png,7158ad3be7fa63cfd15a768fb65d33de65cad4b36c1e49a18b68be7e168176c2,REVIEW,2448,5,1,two-tone,7345,7d69912ca6d30af83ef49aee2b0780f3214fb4192b9acc30ccc9718da804ca36,True,True,0.93577982,"1,16,219,116"
7191,picons/23.5e/telekom-srbija/transparent/1_0_1_4E4D_CA5_3_EB0000_0_0_0.png,1bae90cc62b79d835cc43b75744949ad850b2ed51d5dccf227b110000de4b878,REVIEW,9105,18,4,two-tone,49,1420bd9a0c62ae6f087c6024f4cc9ad2a8e77216cff1879be99dc3c4740f2359,True,True,0.93577982,"1,27,219,105"
7384,picons/23.5e/telekom-srbija/transparent/1_0_1_4EC4_C8B_3_EB0000_0_0_0.png,58ebf0ee44eafc36bbd3a1298e8299f99087ce07cce0795a1cb9f0bb064d8b8d,REVIEW,8988,0,0,V9 achromatic-only fallback,0,4f18ce45d5d133f807c7c9333850285e29b2906f6830467fd0b852213be5d97a,True,True,0.93577982,"1,17,219,115"
6099,picons/19.2e/ses-astra/transparent/1_0_1F_183D_40B_1_C00000_0_0_0.png,6d3d0e15193dc1b158db08808dff300d76a512aaa3bf34ebfc05646bbcf817ab,REVIEW,8718,34,9,touches-protected-chroma,11,37ba4c88b4bdb7115bac11e4744df4a5c4beb101126eb3a2368b9b749cb8761b,True,True,0.93577982,"1,14,219,117"
6216,picons/19.2e/tsa/transparent/1_0_2_18F6_3F4_1_C00000_0_0_0.png,8d9a1d95b028a8354b7b2b7a2f5c54408dcc9571ea8598e51fea2c360cbd1a2b,REVIEW,9743,15,5,two-tone,1498,1428dd0e3da0f968837a30cc05876b11d84c1d24d4feffe5b3b4eb16ff82766c,True,True,0.92800000,"1,3,219,128"
1856,picons/10.0e/bfbs/transparent/1_0_2_1F5C_1_10_640000_0_0_0.png,d214870136a075840d559831b4f52ce1a94a7686c5c296fe723859d64e327b09,REVIEW,784,7,6,"touches-protected-chroma,two-tone",7009,7d6d1bb850b3a2c46f0ee1c21805f2000dbb7a9ec75d06fd982bb962fabd3ba8,True,True,0.89230769,"12,1,208,131"
1869,picons/10.0e/bfbs/transparent/1_0_2_1F64_1_10_640000_0_0_0.png,d214870136a075840d559831b4f52ce1a94a7686c5c296fe723859d64e327b09,REVIEW,784,7,6,"touches-protected-chroma,two-tone",7009,7d6d1bb850b3a2c46f0ee1c21805f2000dbb7a9ec75d06fd982bb962fabd3ba8,True,True,0.89230769,"12,1,208,131"
1872,picons/10.0e/bfbs/transparent/1_0_2_1F66_1_10_640000_0_0_0.png,d214870136a075840d559831b4f52ce1a94a7686c5c296fe723859d64e327b09,REVIEW,784,7,6,"touches-protected-chroma,two-tone",7009,7d6d1bb850b3a2c46f0ee1c21805f2000dbb7a9ec75d06fd982bb962fabd3ba8,True,True,0.89230769,"12,1,208,131"
1874,picons/10.0e/bfbs/transparent/1_0_2_1F67_1_10_640000_0_0_0.png,d214870136a075840d559831b4f52ce1a94a7686c5c296fe723859d64e327b09,REVIEW,784,7,6,"touches-protected-chroma,two-tone",7009,7d6d1bb850b3a2c46f0ee1c21805f2000dbb7a9ec75d06fd982bb962fabd3ba8,True,True,0.89230769,"12,1,208,131"
1888,picons/10.0e/bfbs/transparent/1_0_2_1F6E_1_10_640000_0_0_0.png,d214870136a075840d559831b4f52ce1a94a7686c5c296fe723859d64e327b09,REVIEW,784,7,6,"touches-protected-chroma,two-tone",7009,7d6d1bb850b3a2c46f0ee1c21805f2000dbb7a9ec75d06fd982bb962fabd3ba8,True,True,0.89230769,"12,1,208,131"
1893,picons/10.0e/bfbs/transparent/1_0_2_1F71_1_10_640000_0_0_0.png,d214870136a075840d559831b4f52ce1a94a7686c5c296fe723859d64e327b09,REVIEW,784,7,6,"touches-protected-chroma,two-tone",7009,7d6d1bb850b3a2c46f0ee1c21805f2000dbb7a9ec75d06fd982bb962fabd3ba8,True,True,0.89230769,"12,1,208,131"
1895,picons/10.0e/bfbs/transparent/1_0_2_1F72_1_10_640000_0_0_0.png,d214870136a075840d559831b4f52ce1a94a7686c5c296fe723859d64e327b09,REVIEW,784,7,6,"touches-protected-chroma,two-tone",7009,7d6d1bb850b3a2c46f0ee1c21805f2000dbb7a9ec75d06fd982bb962fabd3ba8,True,True,0.89230769,"12,1,208,131"
4926,picons/16.0e/total-tv/transparent/1_0_1_68B_9FC4_16E_A00000_0_0_0.png,ed06bb463659b0ee081b85fc2e50d4a666f229dfc571e4da7e60769a650ceabf,REVIEW,7698,12,12,two-tone,55,61d2dcadec07d8259f81dfe99db019cfd93a57ecb55b5d2e03c26d3ff0591206,True,True,0.92063492,"2,3,217,129"
7564,picons/23.5e/telekom-srbija/transparent/1_0_1_4F35_CA6_3_EB0000_0_0_0.png,ed06bb463659b0ee081b85fc2e50d4a666f229dfc571e4da7e60769a650ceabf,REVIEW,7698,12,12,two-tone,55,61d2dcadec07d8259f81dfe99db019cfd93a57ecb55b5d2e03c26d3ff0591206,True,True,0.92063492,"2,3,217,129"
14408,picons/80.0e/harmonic/transparent/1_0_1_22_14_1113_3200000_0_0_0.png,342fbdc9acf35a146453e09edd696f743375b53445536f1242fde9bf23eedee1,REVIEW,933,1,4,touches-protected-chroma,6507,ecf6deff5d951113ffb020e868b37e949d528caba797a0b68473939e2608bdb7,True,True,0.94883721,"2,30,217,101"
14483,picons/80.0e/orion-express/transparent/1_0_1_1A2_CA_1_3200000_0_0_0.png,342fbdc9acf35a146453e09edd696f743375b53445536f1242fde9bf23eedee1,REVIEW,933,1,4,touches-protected-chroma,6507,ecf6deff5d951113ffb020e868b37e949d528caba797a0b68473939e2608bdb7,True,True,0.94883721,"2,30,217,101"
13015,picons/68.5e/sentech/transparent/1_0_2_141_2_49_2AD0000_0_0_0.png,c19edbff953b7c4b23e3b7ee8bf93e0e405984cc6ea0923cb54aad8faacbbb11,REVIEW,1122,5,8,"touches-protected-chroma,two-tone",6178,918ab87f290b10b619201315913f8676c035e2af8ac873acc62f346d14519a96,True,True,0.94883721,"2,10,217,121"
10943,picons/42.0e/demiroren-medya/transparent/1_0_2_2B93_1_42_1A40000_0_0_0.png,eaf5d57b9b375ac80517e13e621eda8b7d7d1d5ad9a226e99facf216ee854110,REVIEW,7657,15,2,two-tone,71,6dc60fc3e589583e21c04be40b1be1ebc5c249fed0fc6a264d78cfe4d92fdf15,True,True,0.87878788,"2,0,218,132"
PASS-control,picons/0.8w/digislovakia/transparent/1_0_16_3F6_AF1_BB_E080000_0_0_0.png,9511e45fbb54d433bac178437d0f4abb11248b68f675fa449f9c058ba2a3224b,PASS,0,0,0,,0,ef9f0d92c37e223216806fa8a5f2ab9e0316a11c70b91eb0263a383a6923f195,True,True,1.00000000,"43,18,177,114"
