review_number,source,source_sha256,status,changed_pixels,changed_components,unsafe_components,unsafe_reason,pixels_different_from_current,candidate_png_sha256,alpha_unchanged,protected_chromatic_pixels_unchanged,fit_scale,fit_bbox,style,current_output,current_output_sha256
13567,picons/7.0w/nilesat/transparent/1_0_1_83D_15_800_DCA0000_0_0_0.png,0fe183ee565d5298e7d62dba865724d6cd8eadb80dace18093ec67485817416c,REVIEW,6133,0,0,V9 achromatic-only fallback,0,89bfde7d923c8c097dd1d354f69c26f5772a3e389d3eb9215f4b22d8e120ca39,True,True,0.89230769,"3,1,217,131",white,picons/7.0w/nilesat/white/1_0_1_83D_15_800_DCA0000_0_0_0.png,89bfde7d923c8c097dd1d354f69c26f5772a3e389d3eb9215f4b22d8e120ca39
11359,picons/42.0e/turksat/transparent/1_0_1_C740_EC55_42E_1A40000_0_0_0.png,7667148d4451feb516bb3aded4ad717fb887561907b6fd32eced8dcfd5afb2f6,REVIEW,3,3,6,"touches-protected-chroma,two-tone",5968,15440fd0212f070d377a9e4dd5e4dd4c8a1bd2295020e9970b6cf044c94c6329,True,True,0.93577982,"1,16,219,116",white,picons/42.0e/turksat/white/1_0_1_C740_EC55_42E_1A40000_0_0_0.png,80754e02d05b0be6b288e9f92ce4217c797857d9fc2c58ef2507e39f22bf1d7f
1030,picons/0.8w/m7-group/transparent/1_0_1_75B8_2BD_600_E080000_0_0_0.png,d38a4091fd9a8cbb0062e614b04386baed51b02f4039a5d45a245b269724fb88,REVIEW,7,2,2,two-tone,5998,2a4571f3601eaf943abfaef3bbe124c095c68875e1c96fc80f7e47a6da05b1c6,True,True,0.88549618,"62,0,158,131",white,picons/0.8w/m7-group/white/1_0_1_75B8_2BD_600_E080000_0_0_0.png,3cb63ff76d4000b3ba8e741a82920c2f3c7a9596dc4ad2634e50e3164ff1b4e4
8246,picons/26.0e/profen/transparent/1_0_1_1B_208_2BE_1040000_0_0_0.png,d6f22cf72cc769b6373a181c93b4ab086e1611b47a85e0c42cffd891efe3bacd,REVIEW,4,4,5,"touches-protected-chroma,two-tone",5920,1afb0c21e3fb4e3a500cdd03c5a19727139bcae5ff1cf4e1cc5b1a9d8683c1b7,True,True,0.93577982,"1,16,219,116",white,picons/26.0e/profen/white/1_0_1_1B_208_2BE_1040000_0_0_0.png,97a740a46d01895c36ab3affab5a97aa1e47e83bdeaa60fac9f5c33bc8db6748
5797,picons/19.2e/mtv-networks-europe/transparent/1_0_19_6FEC_436_1_C00000_0_0_0.png,340787bce86fd9772311a5f70c3b0791cb2912e4dfa2531e05e08a05bd14ee83,AUTO-FIXED,6011,22,0,,0,ae581ffb3b98319cf8bb7371a69d3a4bf51dceebd5d20bb19ade8a52f5888091,True,True,0.93577982,"1,24,219,107",white,picons/19.2e/mtv-networks-europe/white/1_0_19_6FEC_436_1_C00000_0_0_0.png,ae581ffb3b98319cf8bb7371a69d3a4bf51dceebd5d20bb19ade8a52f5888091
1120,picons/0.8w/paramount/transparent/1_0_1_1F6_1B_2C0_E080000_0_0_0.png,27aa29beb7f2f89e810c52adf8205c681e751a44e71a524d72ee4d85e286844e,REVIEW,918,7,5,"touches-protected-chroma,two-tone",4763,4e73ec4db760dacc54809acb2cd1755732532245d065c395c1b905f8c74951d0,True,True,0.94883721,"2,24,217,108",white,picons/0.8w/paramount/white/1_0_1_1F6_1B_2C0_E080000_0_0_0.png,c91beb0a4a443272f51821b3c560119d78c35f4ca2314f4d59126419945d292a
2402,picons/13.0e/cyfrowy-polsat-s-a/transparent/1_0_1_20_1964_13E_820000_0_0_0.png,27aa29beb7f2f89e810c52adf8205c681e751a44e71a524d72ee4d85e286844e,REVIEW,918,7,5,"touches-protected-chroma,two-tone",4763,4e73ec4db760dacc54809acb2cd1755732532245d065c395c1b905f8c74951d0,True,True,0.94883721,"2,24,217,108",white,picons/13.0e/cyfrowy-polsat-s-a/white/1_0_1_20_1964_13E_820000_0_0_0.png,c91beb0a4a443272f51821b3c560119d78c35f4ca2314f4d59126419945d292a
9000,picons/28.2e/bskyb/transparent/1_0_1_C78C_815_2_11A0000_0_0_0.png,27aa29beb7f2f89e810c52adf8205c681e751a44e71a524d72ee4d85e286844e,REVIEW,918,7,5,"touches-protected-chroma,two-tone",4763,4e73ec4db760dacc54809acb2cd1755732532245d065c395c1b905f8c74951d0,True,True,0.94883721,"2,24,217,108",white,picons/28.2e/bskyb/white/1_0_1_C78C_815_2_11A0000_0_0_0.png,c91beb0a4a443272f51821b3c560119d78c35f4ca2314f4d59126419945d292a
13145,picons/7.0w/admc/transparent/1_0_2_11_32_64_DCA0000_0_0_0.png,3cfc6ea0ca9a9b21aa2b3b99715242749ddc6e9f9202111f08a17affd955e515,AUTO-FIXED,5941,6,0,,0,b86e7560b883403797a36fcfd7c4af7258a3b851d99924eda2d154cc1deb19a0,True,True,0.94883721,"2,33,217,99",white,picons/7.0w/admc/white/1_0_2_11_32_64_DCA0000_0_0_0.png,b86e7560b883403797a36fcfd7c4af7258a3b851d99924eda2d154cc1deb19a0
10954,picons/42.0e/demiroren-medya/transparent/1_0_2_2C57_3_42_1A40000_0_0_0.png,1d8fcd1d99617b36556f4ee311f161199d1dc4fe18e2186585f14e8c943c8eb8,REVIEW,17,10,5,"touches-protected-chroma,two-tone",5871,2389a8639077ae26c37a925d1cc35c8fb453e80547758b4539a6055c4c6bdc83,True,True,0.93577982,"1,12,219,120",white,picons/42.0e/demiroren-medya/white/1_0_2_2C57_3_42_1A40000_0_0_0.png,5eae1fd980c99ce5af5a232cf5f90d7d10db45ed2509385fc1c1bf545febdd8b
1369,picons/0.8w/telenor/transparent/1_0_19_1F34_23_46_E080000_0_0_0.png,581656497adb33bef0b576d23dfb2ac36f7e30b21f094d3c09ff5411eeab1328,REVIEW,5858,27,4,"touches-protected-chroma,two-tone",30,278f21c0b98c154db0c7622d32e77c6ad0bc558447b44c807e9f4db9ef548b6f,True,True,0.93577982,"1,24,219,108",white,picons/0.8w/telenor/white/1_0_19_1F34_23_46_E080000_0_0_0.png,4e41abdf9adb4c8d31af998f93eaed05db7f54f1d0450e84d6672210ed85fc5f
13187,picons/7.0w/du/transparent/1_0_19_6_9C7C_77E_DCA0000_0_0_0.png,09753c9f76107f5aa0f894d9b929877cbbb7c89f2c54cda383bb8e6a7d2bd607,REVIEW,6168,13,4,"touches-protected-chroma,two-tone",476,e9c0cc704b9a185bd593bac731b96c1f4519b2cc7b0e266dd540cb38fa180b89,True,True,0.93577982,"1,29,219,103",white,picons/7.0w/du/white/1_0_19_6_9C7C_77E_DCA0000_0_0_0.png,ca7428b15fbd73b994a0416203510663a9c3c1655d7d1a9512f2325e515b27e5
2551,picons/13.0e/dvb-s2-8psk-10796v-13-0ae/transparent/1_0_2_3DAE_2C88_13E_820000_0_0_0.png,13fbb04e0592f8eb331afc7d830406473bf081755838d0b53027d912fe39eac9,REVIEW,315,7,10,"touches-protected-chroma,two-tone",5168,69f9c7f38973331cf5ea4f9d1435db904e5885e7a2feeab853544345c6a207fb,True,True,0.92727273,"0,19,220,114",white,picons/13.0e/dvb-s2-8psk-10796v-13-0ae/white/1_0_2_3DAE_2C88_13E_820000_0_0_0.png,18110da366623c7a124eda145d8f96b5b48a77115a17de1a0441966b823d0a6b
9117,picons/28.2e/bskyb/transparent/1_0_1_D07F_83E_2_11A0000_0_0_0.png,b31f027f42bd1f6f571652262b84ea8bbc29e53388350ddb5d3a2c9479f0a63b,REVIEW,108,39,11,"touches-protected-chroma,two-tone",5715,498f27e2ce377faa515c8df3e2e8b0e9bc092d6b69f0165ddce33a2d29bf6cf3,True,True,0.88549618,"14,0,206,131",white,picons/28.2e/bskyb/white/1_0_1_D07F_83E_2_11A0000_0_0_0.png,53e0d78cbabfb84ff19a90d2d90242080953a7b9a1abdbc26ace2b760515f0e4
13143,picons/7.0w/admc/transparent/1_0_2_10_32_64_DCA0000_0_0_0.png,6da26411eaaa01e764af0f3a47d2165026dcf63bc9b1486fc90de36d0285b3f8,REVIEW,3780,3,1,touches-protected-chroma,1770,9f229dbf6b2f02408e16bf33e8ac909b4659211448efa8095aae6f2c16f010e8,True,True,0.94883721,"2,24,217,107",white,picons/7.0w/admc/white/1_0_2_10_32_64_DCA0000_0_0_0.png,95b87895b036112302fff90d933b2e9caaf8a3f72088780e36dc2da5fb3b5946
13147,picons/7.0w/admc/transparent/1_0_2_12_32_64_DCA0000_0_0_0.png,e250dd213034fe5f4b9215838e55be6156cc67529b1c70753f7f1b0318469917,REVIEW,2803,3,1,touches-protected-chroma,2684,511489ea2fcd636a94af9daf3abc5d750dd32875c0f4599c2ac4ea2acf3cffcc,True,True,0.94883721,"2,24,217,108",white,picons/7.0w/admc/white/1_0_2_12_32_64_DCA0000_0_0_0.png,2bcb58a3fd1fe4f3bf4036dcc7cea5d3a661511baed2b4461d33fee1517b6781
407,picons/0.8w/freesat/transparent/1_0_16_7A48_2CB_600_E080000_0_0_0.png,e271debb5a577149c00881c16ba5525ac872c51fe4ab63a47b6c04f54198d1c6,PASS,0,0,0,,5487,840fbf2713188c87a5098fef0ceef15ad6e79f7b3a7d461ea698d68737305bbd,True,True,0.93577982,"1,28,219,103",white,picons/0.8w/freesat/white/1_0_16_7A48_2CB_600_E080000_0_0_0.png,e0940a92b71a550d43567c2911450d703c064bb868bcc6d858ceb2711b9e4679
1009,picons/0.8w/m7-group/transparent/1_0_16_7A48_2CB_600_E080000_0_0_0.png,e271debb5a577149c00881c16ba5525ac872c51fe4ab63a47b6c04f54198d1c6,PASS,0,0,0,,5487,840fbf2713188c87a5098fef0ceef15ad6e79f7b3a7d461ea698d68737305bbd,True,True,0.93577982,"1,28,219,103",white,picons/0.8w/m7-group/white/1_0_16_7A48_2CB_600_E080000_0_0_0.png,e0940a92b71a550d43567c2911450d703c064bb868bcc6d858ceb2711b9e4679
12493,picons/52.0e/persiana-cast/transparent/1_0_1_A_1D36_1D36_2080000_0_0_0.png,7977819803ca1758e3e945d2e84b6a20adef00cc931b2c4fd70d50d6fc5068b5,REVIEW,2412,4,2,touches-protected-chroma,2962,fb37c02adecd553847eb20e6e222463c365ce954daaf91a3e0ba89cc360a01a1,True,True,0.94883721,"2,34,217,97",white,picons/52.0e/persiana-cast/white/1_0_1_A_1D36_1D36_2080000_0_0_0.png,3c076394ae729c1f2c1e97c9d300d1a8e13e839742b05ee70933a06c82d71ea9
5669,picons/19.2e/movistar/transparent/1_0_1_7733_416_1_C00000_0_0_0.png,cd98c7ca34934d55654db3c400b84ceda1c2fc31ddf6deeb9b9c3e5cc729eab5,REVIEW,3537,9,3,"touches-protected-chroma,two-tone",1805,ddf92ec59e2034061314de8e14138c09f2e70d01428f50f66522dfb463e26cc6,True,True,0.94883721,"2,25,217,106",white,picons/19.2e/movistar/white/1_0_1_7733_416_1_C00000_0_0_0.png,f3cf48a8be73150a3c28ce9e35faa0ef7e8499812cb39847321a608533857bf6
5671,picons/19.2e/movistar/transparent/1_0_1_7734_416_1_C00000_0_0_0.png,cd98c7ca34934d55654db3c400b84ceda1c2fc31ddf6deeb9b9c3e5cc729eab5,REVIEW,3537,9,3,"touches-protected-chroma,two-tone",1805,ddf92ec59e2034061314de8e14138c09f2e70d01428f50f66522dfb463e26cc6,True,True,0.94883721,"2,25,217,106",white,picons/19.2e/movistar/white/1_0_1_7734_416_1_C00000_0_0_0.png,f3cf48a8be73150a3c28ce9e35faa0ef7e8499812cb39847321a608533857bf6
4519,picons/16.0e/srtv/transparent/1_0_1_B_C8_1_A00000_0_0_0.png,b9c2ba8b7c4f09c9c7b9db5753591889374f0147f267184d7ba0b7d6cac3a789,REVIEW,687,17,11,"touches-protected-chroma,two-tone",4707,499b69e1dbbf675c228a160626de70ea0a6eec2d8873e862f34d65d0ccf399fd,True,True,0.94009217,"1,10,218,123",white,picons/16.0e/srtv/white/1_0_1_B_C8_1_A00000_0_0_0.png,a5b8164f9a318570431a22fec456e151a1432cc562bacace7cfe28fb4628e31d
5136,picons/19.2e/ard-ndr/transparent/1_0_A_28D6_40F_1_C00000_0_0_0.png,1916a46febdc0d19776e5541282ddbfcb3f178225653a98def2f3844612a71fb,REVIEW,5099,5,1,touches-protected-chroma,128,277bc2b5a91c3e86e08e901df895ff283059448277383281ddbbe4336f3492c0,True,True,0.93577982,"1,23,219,109",white,picons/19.2e/ard-ndr/white/1_0_A_28D6_40F_1_C00000_0_0_0.png,338566fb068198d417b62dedab8364ffe70b3e594f753228ac58694f2cf467a2
14406,picons/80.0e/harmonic/transparent/1_0_1_21_14_1113_3200000_0_0_0.png,0caa0d2d4cdd474fcb4c1a2dd803ebd0a71e63612d104f01ddb738c0e7acae27,REVIEW,5207,6,1,two-tone,13,5106f90155b56d8b92ba58192197be6f4d0336b99f82d3805e384ceef17b3e78,True,True,0.95774648,"4,45,217,87",white,picons/80.0e/harmonic/white/1_0_1_21_14_1113_3200000_0_0_0.png,66f1f524f997984f7cb0fc6543c43bc0341ce6a6b28f882b3074fa5320821690
PASS-control,picons/0.8w/digislovakia/transparent/1_0_16_3F6_AF1_BB_E080000_0_0_0.png,9511e45fbb54d433bac178437d0f4abb11248b68f675fa449f9c058ba2a3224b,PASS,0,0,0,,0,ef9f0d92c37e223216806fa8a5f2ab9e0316a11c70b91eb0263a383a6923f195,True,True,1.00000000,"43,18,177,114",white,PASS-control,
