bbox,bbox_area_fraction,bbox_opaque_corner_fraction,bbox_opaque_edge_fraction,bbox_opaque_fill,bbox_visible_corner_fraction,bbox_visible_edge_fraction,bbox_visible_fill,canvas_opaque_fraction,provider,recovery_note,recovery_source_url,recovery_status,satellite_position,service_reference,source,source_reason,source_sha256,source_status
"4,13,215,119",0.770179,0.0,0.001577,0.971877,0.75,0.996845,0.999955,0.748519,digi,,,RECOVERY-SEARCH,0.8w,1_0_1_3EC_7_1_E080000_0_0_0.png,picons/0.8w/digi/transparent/1_0_1_3EC_7_1_E080000_0_0_0.png,suspected rectangular raster background in transparent source,8cc0c9e34d17f872d84a959141e0deb64d6f4f0164ae02369ff0e52bcd4ab714,SOURCE-REVIEW
"22,18,198,114",0.581818,0.0,0.0,0.936553,1.0,1.0,1.0,0.544904,digislovakia,,,RECOVERY-SEARCH,0.8w,1_0_16_178C_AF6_BB_E080000_0_0_0.png,picons/0.8w/digislovakia/transparent/1_0_16_178C_AF6_BB_E080000_0_0_0.png,suspected rectangular raster background in transparent source,8464e6d49815d2601d89010088ade1862033778b60f16921345a148fe1858cc1,SOURCE-REVIEW
"47,3,173,129",0.546694,0.0,0.0,0.953011,0.75,0.996032,0.999937,0.521006,digitv,,,RECOVERY-SEARCH,0.8w,1_0_2_1022_C_1_E080000_0_0_0.png,picons/0.8w/digitv/transparent/1_0_2_1022_C_1_E080000_0_0_0.png,suspected rectangular raster background in transparent source,6d904627e2d21999799844819c7c5ae81bd3bc90c82a315818d4baa89dd7f691,SOURCE-REVIEW
"47,3,173,129",0.546694,0.0,0.0,0.953578,0.75,0.996032,0.999937,0.521315,digitv,,,RECOVERY-SEARCH,0.8w,1_0_2_9CE_C_1_E080000_0_0_0.png,picons/0.8w/digitv/transparent/1_0_2_9CE_C_1_E080000_0_0_0.png,suspected rectangular raster background in transparent source,49dc1d76fe15c51f4a266c9c97460dbe6f841238687149afc0e73a5d02d72e7d,SOURCE-REVIEW
"45,1,175,131",0.581956,0.0,0.0,0.969467,1.0,1.0,1.0,0.564187,freesat,,,RECOVERY-SEARCH,0.8w,1_0_1_3F6_7_1_E080000_0_0_0.png,picons/0.8w/freesat/transparent/1_0_1_3F6_7_1_E080000_0_0_0.png,suspected rectangular raster background in transparent source,9f0f4e589163222ddc1465b8f7a3954274c00a2f07c7d8e419b06748e3807b7f,SOURCE-REVIEW
"45,1,174,131",0.577479,0.0,0.0,0.96935,1.0,1.0,1.0,0.55978,freesat,,,RECOVERY-SEARCH,0.8w,1_0_1_DC0_C_1_E080000_0_0_0.png,picons/0.8w/freesat/transparent/1_0_1_DC0_C_1_E080000_0_0_0.png,suspected rectangular raster background in transparent source,a571f77d32c8e570ed42ba77810d3fa6f48351ed948acfa8572bc5a6d5401daf,SOURCE-REVIEW
"45,1,175,131",0.581956,0.0,0.0,0.969231,1.0,1.0,1.0,0.56405,telenor,,,RECOVERY-SEARCH,0.8w,1_0_16_1C98_A_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_16_1C98_A_46_E080000_0_0_0.png,suspected rectangular raster background in transparent source,b17ee39c1c6ebd91ed6bd7d15a7298fca8901eec8a720d0314e78a5cb10d6ce4,SOURCE-REVIEW
"1,48,219,83",0.262741,0.0,0.0,0.908257,1.0,0.996047,0.995413,0.238636,telenor,,,RECOVERY-SEARCH,0.8w,1_0_19_1C01_3_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_19_1C01_3_46_E080000_0_0_0.png,suspected rectangular raster background in transparent source,3c7663bed1d022dcb2a55acf94b59895ec0cb0fc9e7eb15fa35ff3e3c7539465,SOURCE-REVIEW
"45,1,175,131",0.581956,0.0,0.0,0.969467,1.0,1.0,1.0,0.564187,telenor,,,RECOVERY-SEARCH,0.8w,1_0_19_1C96_A_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_19_1C96_A_46_E080000_0_0_0.png,suspected rectangular raster background in transparent source,e3974a9e2a2844099ed6bc47641783a2375bcc9fff35fc8cea571d0e347ec087,SOURCE-REVIEW
"45,1,175,131",0.581956,0.0,0.0,0.969467,1.0,1.0,1.0,0.564187,telenor,,,RECOVERY-SEARCH,0.8w,1_0_19_1E83_A_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_19_1E83_A_46_E080000_0_0_0.png,suspected rectangular raster background in transparent source,4249384f020b54fd2f20a4d19514ec568d5ea289ff5a8d2e9babf312d7d78c2f,SOURCE-REVIEW
"47,3,173,129",0.546694,0.0,0.0,0.953011,0.75,0.996032,0.999937,0.521006,telenor,,,RECOVERY-SEARCH,0.8w,1_0_2_1D32_3_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_2_1D32_3_46_E080000_0_0_0.png,suspected rectangular raster background in transparent source,3926739dabb3515639c0d7519229fea1154b1d7413f7eaee84aa9425933cd893,SOURCE-REVIEW
"47,3,173,129",0.546694,0.0,0.0,0.953074,0.75,0.996032,0.999937,0.52104,telenor,,,RECOVERY-SEARCH,0.8w,1_0_2_6B9_3_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_2_6B9_3_46_E080000_0_0_0.png,suspected rectangular raster background in transparent source,215ac0bf49f2503d07279b25644f2f8a11b50dd2c1affb67442513d42c0ee481,SOURCE-REVIEW
"47,3,173,129",0.546694,0.0,0.0,0.953074,0.75,0.996032,0.999937,0.52104,telenor,,,RECOVERY-SEARCH,0.8w,1_0_2_6BA_3_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_2_6BA_3_46_E080000_0_0_0.png,suspected rectangular raster background in transparent source,91b5117d23674c38e99e9ee2df79f62248dd500cb7749d5e3b43996cbc2a8194,SOURCE-REVIEW
