source,source_qc_2_status,reason
picons/0.8w/digi/transparent/1_0_1_100E_C_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_1_13EC_D_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_1_13F6_D_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_1_3EC_7_1_E080000_0_0_0.png,SOURCE-PASS,Phase 1B approved integral rectangular brand geometry
picons/0.8w/digi/transparent/1_0_1_406_2_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_1_408_2_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_1_40A_7_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_1_456_1_1_E08318F_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_1_5A0_7_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_1_C1C_7_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_1_C26_7_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_2_9D8_7_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_2_9D8_7_1_E082E56_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_2_A5A_2_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi/transparent/1_0_2_DA2_2_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
picons/0.8w/digi-hu/transparent/1_0_19_5C8_4_1_E080000_0_0_0.png,SOURCE-PASS,Full technical SOURCE QC #2 passed
