original_status,triage_result,triage_reason,source_sha256,satellite_position,provider,service_reference,source
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",8cc0c9e34d17f872d84a959141e0deb64d6f4f0164ae02369ff0e52bcd4ab714,0.8w,digi,1_0_1_3EC_7_1_E080000_0_0_0.png,picons/0.8w/digi/transparent/1_0_1_3EC_7_1_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",8464e6d49815d2601d89010088ade1862033778b60f16921345a148fe1858cc1,0.8w,digislovakia,1_0_16_178C_AF6_BB_E080000_0_0_0.png,picons/0.8w/digislovakia/transparent/1_0_16_178C_AF6_BB_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",6d904627e2d21999799844819c7c5ae81bd3bc90c82a315818d4baa89dd7f691,0.8w,digitv,1_0_2_1022_C_1_E080000_0_0_0.png,picons/0.8w/digitv/transparent/1_0_2_1022_C_1_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",49dc1d76fe15c51f4a266c9c97460dbe6f841238687149afc0e73a5d02d72e7d,0.8w,digitv,1_0_2_9CE_C_1_E080000_0_0_0.png,picons/0.8w/digitv/transparent/1_0_2_9CE_C_1_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",9f0f4e589163222ddc1465b8f7a3954274c00a2f07c7d8e419b06748e3807b7f,0.8w,freesat,1_0_1_3F6_7_1_E080000_0_0_0.png,picons/0.8w/freesat/transparent/1_0_1_3F6_7_1_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",a571f77d32c8e570ed42ba77810d3fa6f48351ed948acfa8572bc5a6d5401daf,0.8w,freesat,1_0_1_DC0_C_1_E080000_0_0_0.png,picons/0.8w/freesat/transparent/1_0_1_DC0_C_1_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",b17ee39c1c6ebd91ed6bd7d15a7298fca8901eec8a720d0314e78a5cb10d6ce4,0.8w,telenor,1_0_16_1C98_A_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_16_1C98_A_46_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",3c7663bed1d022dcb2a55acf94b59895ec0cb0fc9e7eb15fa35ff3e3c7539465,0.8w,telenor,1_0_19_1C01_3_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_19_1C01_3_46_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",e3974a9e2a2844099ed6bc47641783a2375bcc9fff35fc8cea571d0e347ec087,0.8w,telenor,1_0_19_1C96_A_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_19_1C96_A_46_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",4249384f020b54fd2f20a4d19514ec568d5ea289ff5a8d2e9babf312d7d78c2f,0.8w,telenor,1_0_19_1E83_A_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_19_1E83_A_46_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",3926739dabb3515639c0d7519229fea1154b1d7413f7eaee84aa9425933cd893,0.8w,telenor,1_0_2_1D32_3_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_2_1D32_3_46_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",215ac0bf49f2503d07279b25644f2f8a11b50dd2c1affb67442513d42c0ee481,0.8w,telenor,1_0_2_6B9_3_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_2_6B9_3_46_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",91b5117d23674c38e99e9ee2df79f62248dd500cb7749d5e3b43996cbc2a8194,0.8w,telenor,1_0_2_6BA_3_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_2_6BA_3_46_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",e8df72353b2392061d5318553a94bf72c6f3b6eca0762400211ae1c08f190799,0.8w,telenor,1_0_2_6BB_3_46_E080000_0_0_0.png,picons/0.8w/telenor/transparent/1_0_2_6BB_3_46_E080000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",beaea1da36c4e5b6a4983b63728904646ccbeb6198db2c7373ec06fe61a6af87,1.9e,neosat,1_0_1_221_18_3_130000_0_0_0.png,picons/1.9e/neosat/transparent/1_0_1_221_18_3_130000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",a2d6321d92f135625d2050f0255540840b03b893053662aa3111684af9ca0b75,1.9e,neosat,1_0_1_A7_10_3_130000_0_0_0.png,picons/1.9e/neosat/transparent/1_0_1_A7_10_3_130000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",37333658c14ff726ac3469e94164213d5d8dec6b48b036a5a1569f6dfeb60631,13.0e,ab-sat,1_0_1_5AF_170C_13F_820000_0_0_0.png,picons/13.0e/ab-sat/transparent/1_0_1_5AF_170C_13F_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",1fe2517ac7170b28b57afaf6fb3cfb0b4aaee98bab0a087030d61d05b79d1ede,13.0e,ab-sat,1_0_1_5B1_170C_13F_820000_0_0_0.png,picons/13.0e/ab-sat/transparent/1_0_1_5B1_170C_13F_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",6faa3a4ec842ec6b5baef584e35a987ae99544e93961cf5c872f9e8a014016ed,13.0e,ab-sat,1_0_1_5B2_170C_13F_820000_0_0_0.png,picons/13.0e/ab-sat/transparent/1_0_1_5B2_170C_13F_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",0322a80cabefc18c40583c7064041bca21056492e9acc3c18b8444be68f5d246,13.0e,ab-sat,1_0_1_5B3_170C_13F_820000_0_0_0.png,picons/13.0e/ab-sat/transparent/1_0_1_5B3_170C_13F_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",117fa37bda66ea42577d89a690314db6873a57d18f379954133b1a2c1599dad5,13.0e,ab-sat,1_0_1_5B5_170C_13F_820000_0_0_0.png,picons/13.0e/ab-sat/transparent/1_0_1_5B5_170C_13F_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",676377dd307f7a94c5dd8b78175d95db86ed89fcb0e1d071af4420e729c3646d,13.0e,canal-plus,1_0_1_1138_2AF8_13E_820000_0_0_0.png,picons/13.0e/canal-plus/transparent/1_0_1_1138_2AF8_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",3a632e71be1e9d8b220e82e61ec666a439ab07d4caf6bb00d656d1c1d8708025,13.0e,canal-plus,1_0_1_13F7_5DC_13E_820000_0_0_0.png,picons/13.0e/canal-plus/transparent/1_0_1_13F7_5DC_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",eb2b82975d2c94d99315c1d734a4bfc2b546f01d3e1760b1a8e1772c748ea45a,13.0e,canal-plus,1_0_1_3ABD_514_13E_820000_0_0_0.png,picons/13.0e/canal-plus/transparent/1_0_1_3ABD_514_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",6ab1712fe33ad759529fa987d4ee03df6054f1a4cee31d916455858275d239a5,13.0e,canal-plus,1_0_1_3ABF_514_13E_820000_0_0_0.png,picons/13.0e/canal-plus/transparent/1_0_1_3ABF_514_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",bc49242a3f8a34195718463599e916f0b27fd559c48c858d4a9cd3b8bb3ac556,13.0e,canal-plus,1_0_1_3AE9_514_13E_820000_0_0_0.png,picons/13.0e/canal-plus/transparent/1_0_1_3AE9_514_13E_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",338f01effb9fd47fe2e513ab23797a0288c7b9a5eac65a4cf74d35df3695fc5a,13.0e,cyfrowy-polsat,1_0_1_1CA5_1CE8_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat/transparent/1_0_1_1CA5_1CE8_71_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",3f281cdacf5480a8d1298c5adef9643efe15de4ec6750f269b99d5a87cf56d1d,13.0e,cyfrowy-polsat,1_0_1_1CA6_1CE8_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat/transparent/1_0_1_1CA6_1CE8_71_820000_0_0_0.png
SOURCE-REVIEW,SOURCE-PASS,"Visual/content triage: rectangular area is a coherent integral brand tile, badge or stripe; no separable unrelated raster/background was found.",83154c5ebfc99e2796d3b3c07d660b6ff85173b2bc9213e08b162e023470015a,13.0e,cyfrowy-polsat,1_0_2_1C9B_1CE8_71_820000_0_0_0.png,picons/13.0e/cyfrowy-polsat/transparent/1_0_2_1C9B_1CE8_71_820000_0_0_0.png
